iter	Passed	Remaining
0	147	147180
1	150	75064
2	153	50965
3	156	38938
4	158	31468
5	160	26563
6	163	23197
7	166	20657
8	169	18645
9	172	17055
10	175	15749
11	178	14665
12	180	13734
13	183	12945
14	186	12260
15	188	11562
16	190	11007
17	192	10482
18	193	10010
19	196	9606
20	197	9220
21	199	8874
22	201	8573
23	203	8290
24	205	8006
25	207	7755
26	209	7546
27	211	7328
28	213	7142
29	215	6957
30	216	6782
31	218	6614
32	220	6460
33	222	6314
34	223	6175
35	225	6049
36	227	5931
37	229	5817
38	231	5709
39	233	5611
40	235	5515
41	237	5426
42	239	5333
43	241	5245
44	243	5158
45	244	5080
46	246	5000
47	248	4927
48	250	4864
49	252	4795
50	254	4730
51	256	4675
52	258	4615
53	259	4553
54	262	4503
55	263	4447
56	265	4392
57	267	4338
58	268	4288
59	270	4242
60	272	4193
61	274	4153
62	276	4114
63	278	4074
64	280	4041
65	282	4001
66	284	3961
67	286	3923
68	288	3888
69	289	3848
70	291	3807
71	293	3776
72	294	3744
73	296	3711
74	298	3682
75	300	3654
76	302	3626
77	304	3596
78	306	3570
79	308	3542
80	309	3515
81	311	3490
82	312	3456
83	314	3430
84	316	3405
85	318	3383
86	320	3361
87	322	3338
88	324	3318
89	326	3299
90	327	3276
91	329	3256
92	331	3236
93	333	3215
94	334	3190
95	336	3170
96	338	3150
97	340	3130
98	341	3110
99	343	3094
100	346	3079
101	348	3063
102	349	3047
103	351	3030
104	353	3014
105	355	3000
106	357	2983
107	359	2966
108	360	2950
109	362	2934
110	364	2919
111	366	2905
112	368	2894
113	370	2882
114	372	2867
115	374	2851
116	375	2833
117	376	2816
118	378	2799
119	379	2782
120	380	2765
121	381	2747
122	383	2731
123	384	2715
124	385	2700
125	387	2684
126	388	2667
127	389	2652
128	390	2637
129	392	2624
130	393	2611
131	395	2598
132	396	2584
133	397	2571
134	399	2559
135	400	2545
136	401	2531
137	403	2517
138	404	2505
139	405	2491
140	406	2478
141	407	2463
142	408	2451
143	410	2439
144	411	2428
145	413	2415
146	414	2404
147	415	2391
148	416	2381
149	418	2371
150	419	2360
151	421	2349
152	422	2337
153	423	2326
154	424	2315
155	426	2305
156	427	2295
157	428	2285
158	430	2274
159	431	2264
160	432	2251
161	433	2241
162	434	2230
163	435	2221
164	437	2212
165	438	2202
166	439	2192
167	440	2182
168	442	2176
169	444	2168
170	445	2159
171	446	2150
172	448	2142
173	449	2134
174	450	2124
175	451	2115
176	453	2106
177	454	2098
178	455	2089
179	456	2081
180	458	2072
181	459	2064
182	460	2056
183	462	2049
184	463	2041
185	464	2033
186	465	2025
187	467	2017
188	468	2009
189	469	2001
190	470	1993
191	471	1985
192	473	1978
193	474	1971
194	475	1963
195	476	1956
196	478	1949
197	479	1942
198	480	1935
199	481	1927
200	483	1920
201	484	1913
202	485	1906
203	487	1900
204	488	1894
205	489	1887
206	491	1881
207	492	1875
208	493	1868
209	494	1861
210	496	1854
211	497	1849
212	498	1843
213	500	1838
214	501	1831
215	503	1825
216	504	1820
217	505	1814
218	507	1809
219	508	1803
220	509	1797
221	511	1793
222	513	1787
223	514	1781
224	515	1775
225	516	1770
226	518	1764
227	519	1758
228	520	1752
229	521	1747
230	523	1741
231	524	1736
232	525	1730
233	526	1724
234	527	1718
235	529	1713
236	530	1708
237	531	1702
238	532	1697
239	534	1691
240	535	1687
241	537	1682
242	538	1677
243	539	1672
244	541	1667
245	542	1662
246	543	1657
247	544	1651
248	545	1646
249	547	1641
250	548	1636
251	549	1631
252	550	1626
253	551	1620
254	553	1615
255	554	1611
256	555	1606
257	556	1601
258	557	1596
259	559	1591
260	560	1587
261	561	1582
262	563	1578
263	564	1573
264	565	1569
265	567	1564
266	568	1560
267	569	1555
268	570	1550
269	571	1545
270	572	1540
271	573	1536
272	575	1531
273	576	1527
274	577	1522
275	579	1518
276	580	1514
277	581	1510
278	582	1505
279	583	1501
280	585	1497
281	586	1494
282	588	1489
283	589	1485
284	590	1481
285	592	1478
286	593	1474
287	595	1471
288	596	1467
289	597	1463
290	599	1460
291	600	1455
292	601	1451
293	603	1448
294	604	1444
295	605	1440
296	607	1437
297	608	1433
298	609	1429
299	611	1426
300	612	1422
301	613	1418
302	615	1415
303	616	1411
304	617	1407
305	619	1404
306	620	1400
307	621	1396
308	623	1393
309	624	1389
310	625	1386
311	626	1382
312	628	1378
313	629	1375
314	630	1371
315	632	1368
316	633	1365
317	635	1362
318	636	1358
319	637	1354
320	638	1350
321	639	1346
322	641	1343
323	642	1340
324	643	1336
325	644	1332
326	645	1328
327	647	1325
